0,0,0,1,
0,0,0,2,
0,0,1,1,
0,0,1,2,
0,0,2,1,
0,0,2,2,
0,0,3,1,
0,0,3,2,
0,0,4,1,
0,0,4,2,
0,0,5,1,
0,0,5,2,
0,0,6,1,
0,0,6,2,
0,0,7,1,
0,0,7,2,
0,0,8,1,
0,0,8,2,
0,0,9,1,
0,0,9,2,
0,0,10,1,
0,0,10,2,
0,0,11,1,
0,0,11,2,
0,0,12,1,
0,0,12,2,
0,0,13,1,
0,0,13,2,
0,0,14,1,
0,0,14,2,
0,0,15,1,
0,0,15,2,
0,0,16,1,
0,0,16,2,
0,0,17,1,
0,0,17,2,
0,1,18,1,
0,1,18,2,
0,3,19,1,
0,3,19,2,
0,7,20,1,
0,7,20,2,
1,14,21,1,
1,14,21,2,
3,28,22,1,
3,28,22,2,
6,56,23,1,
6,56,23,2,
12,112,24,1,
12,112,24,2,
24,225,25,1,
24,225,25,2,
48,451,26,1,
48,451,26,2,
96,902,27,1,
96,902,27,2,
193,1804,28,1,
193,1804,28,2,
386,3608,29,1,
386,3608,29,2,
773,7217,30,1,
773,7217,30,2,
1547,14434,31,1,
1547,14434,31,2,
3094,28869,32,1,
3094,28869,32,2,
3094,28868,32,1,
3094,28868,32,2,
1546,14434,31,1,
1546,14434,31,2,
3093,28869,32,1,
3093,28869,32,2,
3093,28868,32,1,
3093,28868,32,2,
3092,28868,32,1,
3092,28868,32,2,
773,7216,30,1,
773,7216,30,2,
1547,14433,31,1,
1547,14433,31,2,
3094,28867,32,1,
3094,28867,32,2,
3094,28866,32,1,
3094,28866,32,2,
1546,14433,31,1,
1546,14433,31,2,
3093,28867,32,1,
3093,28867,32,2,
3092,28867,32,1,
3092,28867,32,2,
3093,28866,32,1,
3093,28866,32,2,
3092,28866,32,1,
3092,28866,32,2,
1546,14432,31,1,
1546,14432,31,2,
3092,28865,32,1,
3092,28865,32,2,
772,7216,30,1,
772,7216,30,2,
1545,14433,31,1,
1545,14433,31,2,
3091,28867,32,1,
3091,28867,32,2,
3091,28866,32,1,
3091,28866,32,2,
3090,28866,32,1,
3090,28866,32,2,
1545,14432,31,1,
1545,14432,31,2,
3091,28865,32,1,
3091,28865,32,2,
3090,28865,32,1,
3090,28865,32,2,
